日期,雙輪引取,雷射計米,標準過尺機,中途停機次數
12月27日,100,100,99,
12月27日,200,199,199,
12月27日,300,299,299,
12月27日,400,399,398,
12月27日,500,499,498,
12月27日,600,599,598,
12月27日,700,699,697,
12月27日,800,799,797,
12月27日,900,899,897,
12月27日,1000,999,997,
12月27日,100,100,99,1
12月27日,200,200,199,0
12月27日,300,300,299,1
12月27日,400,400,399,0
12月27日,500,500,499,0
12月27日,600,600,598,1
12月27日,700,700,698,1
12月27日,800,800,798,0
12月27日,900,900,898,0
12月27日,1000,1000,997,0
