,Dia_C_Xdisp,Dia_C_Ydisp,TC1_Temp_Z0,TC1_Temp_Z5,TC1_pressure_melt,TC1_temp_melt
0,4,4.1,152.1,174.8,176.2,177.5
1,4,4.1,152.1,174.7,183.2,177.5
2,4,4,149.8,174.6,184.9,177.4
3,4,4,150.4,174.6,184,177.3
