,Dia_C_Xdisp,Dia_C_Ydisp,TC1_Temp_Z0,TC1_Temp_Z5,TC1_pressure_melt,TC1_temp_melt
120,4.0,4.1,151.3,174.9,165.0,176.0
121,4.0,4.1,151.8,174.9,165.0,175.3
122,4.0,4.1,151.6,174.9,165.0,175.8
123,4.0,4.1,151.2,174.9,164.7,175.1
124,4.0,4.1,151.8,174.9,165.0,175.9
125,4.0,4.1,151.7,174.9,165.0,175.4
126,4.0,4.1,151.2,174.9,165.0,175.9
127,4.0,4.1,152.0,174.9,165.0,175.6
128,4.0,4.1,149.6,174.8,163.3,174.4
129,4.0,4.1,151.4,174.9,164.2,175.0
130,4.0,4.1,150.7,174.9,164.2,174.8
131,4.0,4.1,148.6,174.8,162.6,174.6
132,4.0,4.1,151.3,174.9,165.0,175.0
133,4.0,4.1,149.0,174.8,163.3,174.4
134,4.0,4.1,149.1,174.8,163.1,174.4
135,4.0,4.1,150.9,174.9,164.2,174.6
136,4.0,4.1,151.1,174.9,164.2,174.9
137,4.0,4.1,148.3,174.8,162.4,175.1
138,4.0,4.1,148.2,174.8,162.4,175.9
139,4.0,4.1,148.4,174.8,162.4,175.1
140,4.0,4.1,148.0,174.8,162.4,175.7
141,4.0,4.1,148.1,174.8,162.8,175.9
142,4.0,4.1,148.7,174.8,162.4,174.7
143,4.0,4.1,148.2,174.8,162.4,174.8
144,4.0,4.1,148.1,174.8,162.4,174.8
145,4.0,4.1,148.3,174.8,162.4,174.8
146,4.1,4.0,149.1,174.8,165.7,176.9
147,4.1,4.0,149.1,174.8,165.0,176.9
148,4.0,4.1,148.6,174.8,163.3,176.3
149,4.0,4.1,148.4,174.8,163.3,176.1
150,4.1,4.0,149.0,174.8,165.0,176.8
151,4.0,4.1,148.6,174.8,163.3,176.4
152,4.1,4.0,148.6,174.8,164.2,176.7
153,4.1,4.1,148.2,174.8,164.2,176.5
154,4.1,4.0,148.4,174.8,165.0,176.7
155,4.1,4.0,149.6,174.9,165.0,176.9
156,4.1,4.0,150.1,174.9,165.0,177.0
157,4.1,4.0,149.9,174.9,165.0,176.9
158,4.1,4.0,150.4,174.9,165.0,177.0
159,4.1,4.0,149.4,174.9,165.0,176.9
160,4.1,4.0,150.2,174.9,164.5,177.0
161,4.1,4.0,149.8,174.9,165.0,177.0
162,4.1,4.0,150.3,174.9,164.7,177.0
163,4.1,4.0,150.3,174.9,165.0,177.0
164,4.1,4.0,149.8,174.8,163.3,176.3
165,4.1,4.0,150.1,174.9,164.2,176.2
166,4.1,4.0,149.4,174.8,163.3,176.5
167,4.1,4.0,150.2,174.9,164.2,176.3
168,4.1,4.0,150.4,174.9,165.0,176.8
169,4.1,4.0,149.8,174.9,164.0,176.2
170,4.1,4.0,150.3,174.9,164.8,176.5
171,4.1,4.0,149.9,174.9,163.5,176.2
172,4.1,4.0,150.5,174.9,165.0,176.7
173,4.1,4.0,149.9,174.8,164.1,176.7
174,4.1,4.0,150.3,174.8,165.0,177.4
175,4.1,4.0,150.1,174.8,164.2,177.2
176,4.1,4.0,149.8,174.8,163.7,176.8
177,4.1,4.0,150.5,174.8,165.0,177.5
178,4.1,4.0,149.4,174.8,163.3,176.5
179,4.1,4.0,149.4,174.8,163.3,176.5
180,4.1,4.0,149.5,174.8,164.2,176.9
181,4.1,4.0,150.2,174.8,164.2,177.1
182,4.1,4.0,150.9,174.9,165.9,177.5
183,4.1,4.0,150.9,174.9,165.6,177.3
184,4.1,4.0,150.8,174.8,165.5,177.5
185,4.1,4.0,150.6,174.9,165.9,177.6
186,4.1,4.0,150.7,174.8,165.9,177.5
187,4.1,4.0,150.3,174.8,165.3,177.6
188,4.1,4.0,150.3,174.8,165.0,177.5
189,4.1,4.0,150.8,174.8,165.9,177.5
190,4.1,4.0,151.1,174.9,165.9,177.5
191,4.1,4.0,151.1,174.9,165.0,177.1
192,4.1,4.0,151.1,174.9,165.0,177.2
193,4.1,4.0,150.9,174.9,165.0,177.1
194,4.1,4.0,151.1,174.9,165.0,177.1
195,4.1,4.0,151.0,174.9,165.0,177.1
196,4.1,4.0,151.1,174.9,165.0,177.1
197,4.1,4.0,150.9,175.0,165.9,177.0
198,4.1,4.0,151.2,175.0,165.0,177.2
199,4.1,4.0,151.2,175.0,165.8,177.1
200,4.1,4.0,150.3,175.0,163.3,177.0
201,4.1,4.0,150.2,175.0,163.3,177.3
202,4.1,4.0,150.6,175.0,165.0,176.8
203,4.1,4.0,150.4,175.0,164.2,176.9
204,4.1,4.0,150.2,175.0,163.3,177.2
205,4.1,4.0,150.5,175.0,164.2,176.8
206,4.1,4.0,151.0,175.0,165.0,177.0
207,4.1,4.0,150.6,175.0,164.2,176.8
208,4.1,4.0,150.9,175.0,165.0,177.0
209,4.1,4.0,150.5,175.0,165.9,177.8
210,4.1,4.0,150.5,175.0,164.4,177.9
211,4.1,4.0,150.4,175.0,165.0,177.9
212,4.1,4.0,150.6,175.0,165.2,177.9
213,4.1,4.0,150.4,175.0,164.2,177.8
214,4.1,4.0,150.3,175.0,164.2,177.7
215,4.1,4.0,150.4,175.0,164.2,177.8
216,4.1,4.0,150.3,174.9,165.9,177.7
